customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100000,Male,0,No,Yes,61,Yes,Fiber optic,Two year,Bank transfer,68.29,4208.67,No
CUST100001,Female,0,No,No,68,Yes,Fiber optic,Two year,Electronic check,71.31,4868.98,No
CUST100002,Male,0,No,No,62,Yes,DSL,Two year,Electronic check,77.3,4857.57,No
CUST100003,Male,1,Yes,No,1,Yes,DSL,Month-to-month,Credit card,86.3,63.0,Yes
CUST100004,Male,0,Yes,Yes,53,Yes,DSL,Month-to-month,Credit card,26.29,1172.3,No
CUST100005,Female,0,Yes,No,15,Yes,No,Month-to-month,Electronic check,82.25,1320.14,No
CUST100006,Male,1,Yes,No,54,No,Fiber optic,Month-to-month,Electronic check,111.38,6008.01,No
CUST100007,Male,0,No,Yes,42,Yes,DSL,Month-to-month,Electronic check,65.5,2672.42,No
CUST100008,Male,1,No,Yes,60,Yes,DSL,One year,Mailed check,30.67,1802.72,No
CUST100009,Female,1,No,Yes,37,Yes,No,Month-to-month,Credit card,28.59,1038.17,No
CUST100010,Male,0,No,Yes,44,Yes,Fiber optic,One year,Electronic check,48.18,1971.2,No
CUST100011,Male,1,Yes,No,50,Yes,No,Two year,Credit card,95.25,4673.68,No
CUST100012,Male,0,No,Yes,41,Yes,DSL,One year,Electronic check,46.1,1878.61,No
CUST100013,Male,0,Yes,No,23,Yes,Fiber optic,Month-to-month,Electronic check,101.43,2315.87,No
CUST100014,Female,0,No,Yes,29,Yes,DSL,Month-to-month,Electronic check,101.97,2863.77,No
CUST100015,Male,1,No,Yes,36,Yes,DSL,Month-to-month,Credit card,65.71,2236.73,No
CUST100016,Female,0,No,No,52,Yes,DSL,Month-to-month,Electronic check,50.08,2518.86,No
CUST100017,Female,0,Yes,No,62,Yes,DSL,One year,Electronic check,79.77,4975.41,No
CUST100018,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Credit card,101.05,945.86,Yes
CUST100019,Male,0,No,Yes,22,No,No,One year,Electronic check,26.46,669.32,No
CUST100020,Female,0,No,Yes,49,Yes,DSL,Month-to-month,Bank transfer,115.34,5767.87,No
CUST100021,Male,0,No,No,54,Yes,No,Month-to-month,Bank transfer,84.59,4742.25,No
CUST100022,Female,0,Yes,No,54,Yes,DSL,One year,Electronic check,59.81,3292.19,No
CUST100023,Female,0,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Mailed check,70.6,254.04,Yes
CUST100024,Female,0,Yes,No,53,Yes,DSL,One year,Credit card,58.56,3241.42,No
CUST100025,Female,0,No,No,60,Yes,Fiber optic,Two year,Electronic check,61.26,3553.78,No
CUST100026,Female,0,Yes,Yes,4,Yes,DSL,Month-to-month,Credit card,79.56,380.87,Yes
CUST100027,Female,1,No,No,17,Yes,Fiber optic,One year,Mailed check,26.02,537.26,No
CUST100028,Female,0,Yes,Yes,43,Yes,Fiber optic,One year,Mailed check,37.54,1613.18,No
CUST100029,Female,1,No,Yes,30,Yes,Fiber optic,One year,Credit card,42.7,1363.26,No
CUST100030,Male,0,No,Yes,20,Yes,DSL,Month-to-month,Mailed check,60.75,1181.61,No
CUST100031,Male,0,Yes,No,46,No,Fiber optic,Two year,Mailed check,57.11,2631.01,No
CUST100032,Female,0,No,No,29,Yes,Fiber optic,Month-to-month,Credit card,92.22,2711.03,Yes
CUST100033,Female,0,No,No,54,Yes,No,Month-to-month,Mailed check,45.92,2513.36,No
CUST100034,Female,0,No,No,67,Yes,Fiber optic,Month-to-month,Bank transfer,25.71,1583.61,Yes
CUST100035,Male,0,Yes,Yes,68,Yes,No,Month-to-month,Electronic check,25.54,1685.35,No
CUST100036,Female,0,No,Yes,40,No,Fiber optic,Month-to-month,Bank transfer,21.13,849.43,Yes
CUST100037,Male,0,Yes,No,44,No,Fiber optic,Month-to-month,Bank transfer,23.8,1086.41,Yes
CUST100038,Male,0,Yes,No,29,Yes,DSL,Month-to-month,Electronic check,105.87,3137.55,No
CUST100039,Male,0,No,No,44,Yes,Fiber optic,Month-to-month,Bank transfer,89.72,3950.12,Yes
CUST100040,Male,0,Yes,No,44,Yes,Fiber optic,Two year,Electronic check,119.59,5372.76,No
CUST100041,Male,0,No,Yes,44,Yes,DSL,Month-to-month,Electronic check,22.03,940.07,No
CUST100042,Female,1,Yes,No,54,Yes,DSL,Two year,Credit card,104.9,5750.28,No
CUST100043,Female,0,No,Yes,58,Yes,No,Two year,Electronic check,89.61,5182.38,No
CUST100044,Female,0,Yes,No,4,Yes,Fiber optic,Month-to-month,Electronic check,84.03,244.41,Yes
CUST100045,Female,0,No,No,31,No,DSL,Month-to-month,Mailed check,55.65,1987.0,No
CUST100046,Female,0,No,No,5,Yes,Fiber optic,Month-to-month,Mailed check,57.67,338.27,Yes
CUST100047,Male,0,No,Yes,25,Yes,DSL,Two year,Bank transfer,104.56,2429.91,No
CUST100048,Female,0,No,No,36,Yes,Fiber optic,One year,Electronic check,91.35,3378.95,No
CUST100049,Female,0,Yes,Yes,12,Yes,Fiber optic,Two year,Electronic check,87.03,1060.81,No
CUST100050,Male,0,Yes,Yes,68,Yes,DSL,Month-to-month,Credit card,23.06,1654.78,No
CUST100051,Female,0,No,No,24,Yes,Fiber optic,Two year,Electronic check,38.43,976.51,No
CUST100052,Male,0,Yes,Yes,12,Yes,DSL,Month-to-month,Credit card,116.26,1318.76,No
CUST100053,Female,1,No,Yes,19,Yes,No,Two year,Electronic check,65.44,1335.37,No
CUST100054,Male,0,No,Yes,71,Yes,No,Month-to-month,Mailed check,98.14,6901.66,No
CUST100055,Female,1,Yes,No,59,Yes,DSL,One year,Mailed check,58.93,3396.14,No
CUST100056,Female,0,Yes,Yes,72,Yes,Fiber optic,One year,Mailed check,96.43,6909.47,No
CUST100057,Male,0,No,Yes,20,Yes,Fiber optic,One year,Bank transfer,31.92,534.6,No
CUST100058,Male,0,Yes,No,60,Yes,Fiber optic,Month-to-month,Electronic check,24.21,1502.71,Yes
CUST100059,Male,0,No,No,25,Yes,DSL,One year,Mailed check,66.62,1874.06,No
CUST100060,Male,0,Yes,Yes,53,No,Fiber optic,Month-to-month,Credit card,79.16,4085.08,Yes
CUST100061,Male,0,Yes,Yes,41,Yes,No,One year,Mailed check,52.37,2284.66,No
CUST100062,Male,0,Yes,Yes,10,Yes,DSL,One year,Electronic check,91.6,856.13,No
CUST100063,Male,0,Yes,Yes,36,Yes,DSL,Month-to-month,Mailed check,69.58,2445.51,No
CUST100064,Male,0,Yes,No,10,Yes,DSL,One year,Electronic check,112.83,1014.15,No
CUST100065,Female,0,No,No,26,Yes,Fiber optic,Month-to-month,Electronic check,28.5,775.3,No
CUST100066,Female,0,Yes,Yes,33,Yes,No,Month-to-month,Mailed check,26.66,747.41,No
CUST100067,Male,0,Yes,No,37,Yes,Fiber optic,Month-to-month,Credit card,110.51,4041.47,Yes
CUST100068,Female,0,No,Yes,60,No,DSL,Two year,Bank transfer,86.91,5325.49,No
CUST100069,Female,1,No,No,52,Yes,Fiber optic,One year,Electronic check,87.11,4686.08,No
CUST100070,Female,0,No,No,64,Yes,DSL,Two year,Bank transfer,22.76,1361.62,No
CUST100071,Female,1,Yes,Yes,2,Yes,DSL,Month-to-month,Mailed check,113.77,197.12,Yes
CUST100072,Male,0,Yes,Yes,66,Yes,Fiber optic,One year,Electronic check,97.18,6399.69,No
CUST100073,Female,0,No,Yes,27,Yes,DSL,Month-to-month,Electronic check,96.43,2456.46,No
CUST100074,Male,0,No,Yes,13,Yes,Fiber optic,Two year,Mailed check,111.19,1388.08,No
CUST100075,Female,0,No,No,51,Yes,Fiber optic,Month-to-month,Bank transfer,77.82,3905.37,Yes
CUST100076,Female,1,No,No,29,Yes,Fiber optic,One year,Credit card,59.47,1773.5,No
CUST100077,Female,0,Yes,Yes,57,Yes,No,Month-to-month,Mailed check,68.07,3904.52,No
CUST100078,Male,0,Yes,No,53,Yes,No,Two year,Mailed check,97.72,5191.55,No
CUST100079,Female,0,Yes,No,68,Yes,DSL,One year,Credit card,96.87,6566.05,No
CUST100080,Male,0,Yes,Yes,14,Yes,No,Two year,Credit card,80.96,1264.58,No
CUST100081,Female,1,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Credit card,41.81,1544.8,Yes
CUST100082,Male,0,No,No,13,Yes,Fiber optic,Month-to-month,Credit card,101.89,1423.92,Yes
CUST100083,Female,0,Yes,Yes,56,No,DSL,Month-to-month,Mailed check,84.72,4803.29,No
CUST100084,Male,0,No,Yes,58,Yes,DSL,Month-to-month,Credit card,42.13,2458.82,No
CUST100085,Male,0,No,No,7,Yes,No,Two year,Bank transfer,68.06,565.35,No
CUST100086,Female,0,No,No,71,Yes,DSL,Month-to-month,Credit card,119.72,8469.31,No
CUST100087,Male,0,Yes,Yes,18,Yes,DSL,Month-to-month,Electronic check,52.84,861.66,No
CUST100088,Female,0,No,No,31,Yes,DSL,Month-to-month,Electronic check,31.66,978.51,No
CUST100089,Female,0,Yes,Yes,28,Yes,No,One year,Credit card,22.17,771.01,No
CUST100090,Female,0,No,Yes,40,Yes,Fiber optic,Month-to-month,Mailed check,38.46,1559.8,Yes
CUST100091,Female,0,Yes,No,44,Yes,No,Two year,Mailed check,38.7,1652.35,No
CUST100092,Female,0,No,No,12,Yes,DSL,Month-to-month,Bank transfer,105.81,1188.61,No
CUST100093,Female,0,Yes,Yes,26,Yes,DSL,One year,Mailed check,35.62,773.94,No
CUST100094,Female,0,No,Yes,18,Yes,Fiber optic,One year,Bank transfer,106.27,1830.86,No
CUST100095,Female,0,No,Yes,25,Yes,Fiber optic,Month-to-month,Bank transfer,28.67,746.79,Yes
CUST100096,Female,0,No,No,52,Yes,DSL,One year,Bank transfer,110.66,5730.57,No
CUST100097,Female,0,No,Yes,50,No,DSL,Month-to-month,Credit card,45.64,2304.22,No
CUST100098,Female,0,Yes,No,36,Yes,DSL,One year,Mailed check,81.15,2830.19,No
CUST100099,Male,0,Yes,Yes,8,No,DSL,One year,Electronic check,35.97,390.42,No
